,Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection,long,lat
20,Sales Manager,Retail,Medium,Sydney,Medium,Low,JavaScript,134823.0,Yes,Decline,151.2093,-33.8688
21,Data Scientist,Manufacturing,Small,Dubai,Medium,High,JavaScript,81794.0,Yes,Growth,25.2048,55.2708
22,UX Designer,Retail,Small,Tokyo,High,Medium,Cybersecurity,41496.0,No,Decline,139.6917,35.6895
23,Product Manager,Manufacturing,Medium,Paris,Medium,Medium,Data Analysis,89397.0,Yes,Decline,2.3522,48.8566
24,Operations Manager,Transportation,Medium,San Francisco,Low,Low,UX/UI Design,88539.0,Yes,Stable,-122.4194,37.7749
25,Data Scientist,Entertainment,Medium,Sydney,Low,Low,Sales,112234.0,Yes,Stable,151.2093,-33.8688
26,UX Designer,Transportation,Large,Tokyo,Medium,High,UX/UI Design,95763.0,No,Decline,139.6917,35.6895
27,HR Manager,Manufacturing,Small,Tokyo,High,Low,Cybersecurity,73323.0,Yes,Growth,139.6917,35.6895
28,Cybersecurity Analyst,Telecommunications,Small,New York,High,High,Marketing,84272.0,Yes,Stable,-74.006,40.7128
29,Marketing Specialist,Telecommunications,Large,San Francisco,Low,Medium,Python,96548.0,Yes,Growth,-122.4194,37.7749
30,Operations Manager,Transportation,Medium,Dubai,High,Medium,Project Management,46706.0,Yes,Stable,25.2048,55.2708
31,HR Manager,Telecommunications,Large,London,Medium,High,Data Analysis,116772.0,Yes,Stable,-0.1276,51.5074
32,Sales Manager,Manufacturing,Large,Paris,Medium,Low,Machine Learning,73377.0,No,Growth,2.3522,48.8566
33,HR Manager,Finance,Large,London,Low,Medium,Machine Learning,118341.0,Yes,Stable,-0.1276,51.5074
34,Cybersecurity Analyst,Transportation,Small,Dubai,Medium,Low,Machine Learning,97849.0,Yes,Stable,25.2048,55.2708
35,Sales Manager,Healthcare,Large,Dubai,Low,Medium,JavaScript,102592.0,Yes,Growth,25.2048,55.2708
36,Operations Manager,Entertainment,Small,San Francisco,Medium,High,Machine Learning,112988.0,Yes,Stable,-122.4194,37.7749
37,Cybersecurity Analyst,Telecommunications,Small,Dubai,Low,High,Project Management,101463.0,Yes,Stable,25.2048,55.2708
38,Software Engineer,Telecommunications,Small,New York,High,High,Python,103458.0,Yes,Stable,-74.006,40.7128
39,Marketing Specialist,Technology,Medium,Sydney,Medium,Medium,Machine Learning,86712.0,Yes,Growth,151.2093,-33.8688
40,Operations Manager,Education,Small,Dubai,Medium,Low,UX/UI Design,97443.0,Yes,Decline,25.2048,55.2708
41,Software Engineer,Transportation,Small,London,Low,Low,UX/UI Design,78250.0,Yes,Growth,-0.1276,51.5074
42,UX Designer,Energy,Medium,Dubai,Low,Low,JavaScript,83132.0,Yes,Decline,25.2048,55.2708
43,Operations Manager,Telecommunications,Small,New York,Medium,Medium,Project Management,129294.0,No,Stable,-74.006,40.7128
44,UX Designer,Entertainment,Large,Singapore,Low,Medium,Python,73836.0,No,Decline,103.8198,1.3521
45,Sales Manager,Healthcare,Large,Singapore,Medium,Medium,Data Analysis,93086.0,No,Growth,103.8198,1.3521
46,Software Engineer,Telecommunications,Small,Tokyo,High,Medium,Cybersecurity,92269.0,No,Growth,139.6917,35.6895
47,Marketing Specialist,Healthcare,Medium,Paris,Low,Medium,Python,83785.0,Yes,Stable,2.3522,48.8566
48,Cybersecurity Analyst,Manufacturing,Large,Berlin,Medium,Low,Cybersecurity,100288.0,No,Decline,13.405,52.52
49,AI Researcher,Manufacturing,Medium,Sydney,High,Medium,Marketing,101794.0,No,Stable,151.2093,-33.8688
50,HR Manager,Education,Medium,Toronto,High,Medium,Cybersecurity,71484.0,Yes,Stable,-79.3832,43.6532
51,Data Scientist,Finance,Large,Tokyo,Medium,Low,Sales,92027.0,No,Growth,139.6917,35.6895
52,Marketing Specialist,Energy,Medium,Paris,Low,Medium,UX/UI Design,68353.0,No,Decline,2.3522,48.8566
53,Software Engineer,Technology,Large,Singapore,Medium,Low,Project Management,105771.0,Yes,Decline,103.8198,1.3521
54,AI Researcher,Education,Medium,London,High,Low,Communication,93530.0,Yes,Decline,-0.1276,51.5074
55,Marketing Specialist,Retail,Large,Toronto,Medium,High,JavaScript,91647.0,Yes,Decline,-79.3832,43.6532
56,Software Engineer,Technology,Small,Paris,Low,High,Sales,103181.0,No,Stable,2.3522,48.8566
57,Product Manager,Transportation,Large,Paris,High,High,Cybersecurity,84490.0,No,Stable,2.3522,48.8566
58,Product Manager,Entertainment,Large,Tokyo,Medium,High,Machine Learning,108280.0,Yes,Growth,139.6917,35.6895
59,UX Designer,Retail,Large,Toronto,Low,Medium,Project Management,71031.0,Yes,Stable,-79.3832,43.6532
60,Marketing Specialist,Retail,Large,San Francisco,High,High,Sales,118238.0,No,Stable,-122.4194,37.7749
61,Product Manager,Education,Medium,Berlin,Low,Low,JavaScript,78982.0,Yes,Growth,13.405,52.52
62,Software Engineer,Finance,Small,San Francisco,High,Medium,UX/UI Design,56076.0,No,Growth,-122.4194,37.7749
63,UX Designer,Education,Large,Toronto,Medium,High,Project Management,83429.0,Yes,Growth,-79.3832,43.6532
64,Software Engineer,Transportation,Medium,San Francisco,Low,Low,JavaScript,81161.0,Yes,Stable,-122.4194,37.7749
65,UX Designer,Telecommunications,Small,New York,High,Medium,Marketing,83279.0,No,Stable,-74.006,40.7128
66,Marketing Specialist,Telecommunications,Small,Singapore,Low,Medium,Marketing,94633.0,Yes,Growth,103.8198,1.3521
67,AI Researcher,Finance,Small,New York,Low,High,JavaScript,111957.0,Yes,Growth,-74.006,40.7128
68,Cybersecurity Analyst,Transportation,Small,Dubai,Medium,Medium,Sales,86166.0,Yes,Growth,25.2048,55.2708
69,Operations Manager,Finance,Large,San Francisco,Low,Low,Project Management,76168.0,No,Stable,-122.4194,37.7749
70,AI Researcher,Healthcare,Large,Dubai,High,Medium,Sales,67469.0,Yes,Stable,25.2048,55.2708
71,Sales Manager,Telecommunications,Medium,London,High,Low,Data Analysis,80636.0,Yes,Decline,-0.1276,51.5074
72,Software Engineer,Retail,Medium,Sydney,High,Medium,Cybersecurity,52244.0,Yes,Stable,151.2093,-33.8688
73,Sales Manager,Energy,Medium,London,High,High,Data Analysis,75497.0,Yes,Stable,-0.1276,51.5074
74,AI Researcher,Entertainment,Small,Toronto,Medium,Low,Marketing,114881.0,Yes,Stable,-79.3832,43.6532
75,UX Designer,Transportation,Small,Paris,Low,Medium,UX/UI Design,73533.0,Yes,Growth,2.3522,48.8566
76,Operations Manager,Technology,Large,Singapore,Medium,Medium,Python,102574.0,No,Stable,103.8198,1.3521
77,Operations Manager,Finance,Small,San Francisco,Low,Medium,Cybersecurity,65470.0,No,Growth,-122.4194,37.7749
78,Data Scientist,Entertainment,Small,Tokyo,Low,Low,Marketing,125422.0,Yes,Decline,139.6917,35.6895
79,Operations Manager,Technology,Small,Sydney,Low,Low,Sales,126752.0,No,Decline,151.2093,-33.8688
80,Cybersecurity Analyst,Entertainment,Medium,Berlin,Medium,Low,Sales,101820.0,No,Growth,13.405,52.52
81,Operations Manager,Energy,Medium,Berlin,Low,High,Sales,129825.0,Yes,Growth,13.405,52.52
82,AI Researcher,Technology,Large,Berlin,Medium,High,UX/UI Design,97116.0,No,Growth,13.405,52.52
83,Data Scientist,Education,Small,San Francisco,High,Low,Data Analysis,105370.0,No,Stable,-122.4194,37.7749
84,AI Researcher,Manufacturing,Small,Berlin,High,Medium,Python,115239.0,No,Decline,13.405,52.52
85,AI Researcher,Education,Large,New York,Low,High,Sales,93594.0,No,Growth,-74.006,40.7128
86,HR Manager,Telecommunications,Small,Sydney,Medium,Low,Communication,58952.0,No,Stable,151.2093,-33.8688
87,Data Scientist,Manufacturing,Small,New York,High,Medium,Cybersecurity,105779.0,No,Decline,-74.006,40.7128
88,AI Researcher,Education,Medium,Paris,Medium,High,Project Management,80563.0,No,Stable,2.3522,48.8566
89,HR Manager,Manufacturing,Large,Sydney,Medium,Medium,Communication,82049.0,No,Decline,151.2093,-33.8688
90,HR Manager,Manufacturing,Large,New York,Low,Medium,Python,95958.0,Yes,Stable,-74.006,40.7128
91,Data Scientist,Retail,Large,Sydney,High,Medium,UX/UI Design,101326.0,Yes,Decline,151.2093,-33.8688
92,Sales Manager,Finance,Large,Paris,Low,Medium,Python,93003.0,No,Decline,2.3522,48.8566
93,UX Designer,Finance,Medium,Dubai,Low,High,Project Management,102715.0,No,Stable,25.2048,55.2708
94,Cybersecurity Analyst,Retail,Medium,San Francisco,High,High,Cybersecurity,75863.0,Yes,Growth,-122.4194,37.7749
95,UX Designer,Entertainment,Small,San Francisco,High,High,Project Management,89146.0,No,Decline,-122.4194,37.7749
96,Operations Manager,Healthcare,Small,Berlin,Medium,Low,JavaScript,106982.0,No,Growth,13.405,52.52
97,Cybersecurity Analyst,Entertainment,Small,London,High,High,Cybersecurity,125456.0,Yes,Stable,-0.1276,51.5074
98,Operations Manager,Technology,Small,Berlin,Medium,Medium,Python,132529.0,Yes,Growth,13.405,52.52
99,AI Researcher,Technology,Medium,Toronto,Medium,High,Sales,98660.0,Yes,Growth,-79.3832,43.6532
100,Software Engineer,Manufacturing,Large,New York,Medium,Medium,Python,106800.0,No,Growth,-74.006,40.7128
101,Data Scientist,Education,Medium,Sydney,High,Low,Python,129632.0,No,Growth,151.2093,-33.8688
102,Cybersecurity Analyst,Education,Small,London,Low,Medium,Cybersecurity,76583.0,Yes,Growth,-0.1276,51.5074
103,Cybersecurity Analyst,Finance,Medium,Paris,Medium,Medium,JavaScript,102594.0,Yes,Decline,2.3522,48.8566
104,AI Researcher,Transportation,Large,Toronto,Low,Medium,Python,105367.0,No,Decline,-79.3832,43.6532
105,Sales Manager,Entertainment,Large,Paris,Low,Low,Communication,118957.0,Yes,Decline,2.3522,48.8566
106,HR Manager,Telecommunications,Medium,San Francisco,High,High,Marketing,67257.0,No,Stable,-122.4194,37.7749
107,AI Researcher,Energy,Medium,San Francisco,Low,High,Machine Learning,71212.0,No,Growth,-122.4194,37.7749
108,Product Manager,Education,Medium,Berlin,Low,Low,Machine Learning,90428.0,Yes,Decline,13.405,52.52
109,HR Manager,Energy,Small,New York,High,Medium,Python,97555.0,Yes,Stable,-74.006,40.7128
110,Data Scientist,Manufacturing,Medium,London,Medium,High,Communication,112457.0,No,Decline,-0.1276,51.5074
111,HR Manager,Energy,Medium,Singapore,Low,Low,Sales,100351.0,Yes,Decline,103.8198,1.3521
112,Sales Manager,Telecommunications,Medium,Toronto,High,High,UX/UI Design,86972.0,Yes,Growth,-79.3832,43.6532
113,HR Manager,Retail,Large,Toronto,Low,Low,UX/UI Design,98329.0,Yes,Stable,-79.3832,43.6532
114,Data Scientist,Telecommunications,Large,Berlin,Low,Medium,Cybersecurity,96021.0,Yes,Growth,13.405,52.52
115,Sales Manager,Energy,Small,San Francisco,Medium,High,Machine Learning,124900.0,No,Growth,-122.4194,37.7749
116,UX Designer,Telecommunications,Small,Berlin,Low,Low,Python,93313.0,No,Decline,13.405,52.52
117,Cybersecurity Analyst,Healthcare,Large,Sydney,High,High,UX/UI Design,82338.0,No,Growth,151.2093,-33.8688
118,Cybersecurity Analyst,Manufacturing,Large,London,Low,High,Python,98992.0,No,Stable,-0.1276,51.5074
119,Operations Manager,Entertainment,Large,New York,Medium,High,Cybersecurity,93970.0,Yes,Growth,-74.006,40.7128
120,UX Designer,Retail,Medium,Dubai,Medium,High,Machine Learning,58580.0,Yes,Growth,25.2048,55.2708
121,UX Designer,Education,Medium,Tokyo,High,Low,Project Management,89687.0,No,Growth,139.6917,35.6895
122,HR Manager,Technology,Large,Tokyo,Medium,Medium,Marketing,87985.0,No,Decline,139.6917,35.6895
123,Cybersecurity Analyst,Entertainment,Medium,Berlin,Low,Low,Marketing,79123.0,Yes,Stable,13.405,52.52
124,Data Scientist,Technology,Medium,Sydney,Medium,Low,UX/UI Design,110712.0,No,Decline,151.2093,-33.8688
125,Marketing Specialist,Manufacturing,Small,London,High,Low,Marketing,74286.0,No,Decline,-0.1276,51.5074
126,Marketing Specialist,Retail,Large,Singapore,Medium,Medium,Project Management,99112.0,Yes,Decline,103.8198,1.3521
127,Sales Manager,Finance,Large,Tokyo,Medium,High,Python,87043.0,No,Decline,139.6917,35.6895
128,Cybersecurity Analyst,Education,Medium,London,Medium,High,Cybersecurity,92154.0,Yes,Decline,-0.1276,51.5074
129,Cybersecurity Analyst,Healthcare,Large,New York,High,High,Project Management,98236.0,Yes,Stable,-74.006,40.7128
130,Marketing Specialist,Finance,Small,Paris,Medium,Medium,Cybersecurity,63849.0,No,Growth,2.3522,48.8566
131,Cybersecurity Analyst,Manufacturing,Small,Sydney,Medium,High,Cybersecurity,93833.0,Yes,Decline,151.2093,-33.8688
132,HR Manager,Entertainment,Small,San Francisco,Low,Medium,Machine Learning,135779.0,No,Decline,-122.4194,37.7749
133,Product Manager,Healthcare,Large,London,High,High,Python,58865.0,Yes,Stable,-0.1276,51.5074
134,Software Engineer,Telecommunications,Large,New York,Medium,High,Communication,88848.0,No,Stable,-74.006,40.7128
135,UX Designer,Energy,Large,Singapore,High,Low,Marketing,112465.0,No,Growth,103.8198,1.3521
136,Operations Manager,Healthcare,Large,Dubai,Medium,Medium,Communication,96032.0,No,Stable,25.2048,55.2708
137,Sales Manager,Manufacturing,Large,San Francisco,Medium,Low,Machine Learning,103759.0,Yes,Growth,-122.4194,37.7749
138,Product Manager,Transportation,Small,Dubai,Medium,Low,Cybersecurity,42487.0,Yes,Decline,25.2048,55.2708
139,Marketing Specialist,Energy,Medium,Singapore,Low,Low,UX/UI Design,101965.0,No,Decline,103.8198,1.3521
140,UX Designer,Technology,Small,New York,Low,Medium,Marketing,74766.0,Yes,Growth,-74.006,40.7128
141,Cybersecurity Analyst,Education,Large,Tokyo,Low,Medium,Marketing,96198.0,No,Stable,139.6917,35.6895
142,Operations Manager,Technology,Small,Dubai,High,High,Python,89411.0,No,Growth,25.2048,55.2708
143,Cybersecurity Analyst,Healthcare,Large,San Francisco,High,Low,JavaScript,135567.0,Yes,Stable,-122.4194,37.7749
144,Data Scientist,Technology,Large,Berlin,Low,High,Data Analysis,100934.0,No,Decline,13.405,52.52
145,Data Scientist,Manufacturing,Small,Toronto,High,Low,Data Analysis,87748.0,Yes,Stable,-79.3832,43.6532
146,Operations Manager,Telecommunications,Large,London,Medium,Medium,Data Analysis,59806.0,No,Growth,-0.1276,51.5074
147,Operations Manager,Entertainment,Medium,Tokyo,Medium,Medium,JavaScript,92423.0,Yes,Growth,139.6917,35.6895
148,Marketing Specialist,Education,Large,Dubai,Medium,Medium,Python,106465.0,No,Decline,25.2048,55.2708
149,Operations Manager,Technology,Medium,Paris,Low,Low,JavaScript,88389.0,No,Stable,2.3522,48.8566
150,HR Manager,Technology,Medium,London,High,Medium,Data Analysis,79887.0,Yes,Stable,-0.1276,51.5074
151,Cybersecurity Analyst,Healthcare,Large,Berlin,Low,Low,Machine Learning,78548.0,No,Stable,13.405,52.52
152,Product Manager,Entertainment,Small,Singapore,High,High,Project Management,100703.0,No,Decline,103.8198,1.3521
153,AI Researcher,Finance,Medium,Toronto,Medium,Low,Cybersecurity,105188.0,Yes,Stable,-79.3832,43.6532
154,Operations Manager,Technology,Small,New York,Low,High,JavaScript,117224.0,No,Growth,-74.006,40.7128
155,Sales Manager,Manufacturing,Medium,Berlin,High,Low,Python,70100.0,Yes,Stable,13.405,52.52
156,Data Scientist,Transportation,Large,Berlin,High,High,Python,100520.0,No,Decline,13.405,52.52
157,HR Manager,Education,Large,Singapore,Medium,Medium,Communication,87566.0,Yes,Stable,103.8198,1.3521
158,UX Designer,Technology,Medium,Sydney,Low,High,Project Management,88155.0,No,Stable,151.2093,-33.8688
159,AI Researcher,Manufacturing,Large,Singapore,Low,Medium,UX/UI Design,98037.0,No,Growth,103.8198,1.3521
160,Product Manager,Manufacturing,Medium,Sydney,Low,Medium,Marketing,98153.0,No,Stable,151.2093,-33.8688
161,AI Researcher,Education,Large,Sydney,Medium,High,Data Analysis,100575.0,Yes,Growth,151.2093,-33.8688
162,Operations Manager,Finance,Small,Tokyo,Low,Low,UX/UI Design,68851.0,Yes,Growth,139.6917,35.6895
163,Marketing Specialist,Manufacturing,Large,Tokyo,Medium,Low,Communication,75004.0,Yes,Decline,139.6917,35.6895
164,Data Scientist,Transportation,Small,San Francisco,Medium,Low,Data Analysis,119717.0,Yes,Growth,-122.4194,37.7749
165,Data Scientist,Manufacturing,Large,Dubai,Medium,Low,Project Management,85589.0,No,Growth,25.2048,55.2708
166,UX Designer,Manufacturing,Small,Dubai,High,Low,Communication,96120.0,No,Decline,25.2048,55.2708
167,Marketing Specialist,Manufacturing,Large,New York,Low,Medium,Data Analysis,111093.0,Yes,Growth,-74.006,40.7128
168,Cybersecurity Analyst,Telecommunications,Small,Dubai,Low,Low,Project Management,99269.0,Yes,Decline,25.2048,55.2708
169,Software Engineer,Telecommunications,Medium,Tokyo,Medium,Medium,Sales,100930.0,Yes,Stable,139.6917,35.6895
170,HR Manager,Finance,Medium,San Francisco,Medium,Medium,UX/UI Design,107892.0,No,Decline,-122.4194,37.7749
171,Data Scientist,Technology,Small,San Francisco,Low,Medium,UX/UI Design,47667.0,Yes,Growth,-122.4194,37.7749
172,Sales Manager,Manufacturing,Large,Sydney,Medium,High,Marketing,80201.0,Yes,Decline,151.2093,-33.8688
173,Data Scientist,Entertainment,Small,Singapore,Low,High,Project Management,99372.0,No,Growth,103.8198,1.3521
174,AI Researcher,Technology,Large,New York,High,Medium,JavaScript,117753.0,No,Stable,-74.006,40.7128
175,Data Scientist,Finance,Medium,Sydney,Medium,High,Sales,91322.0,Yes,Decline,151.2093,-33.8688
176,Data Scientist,Retail,Large,Singapore,Low,Low,Machine Learning,73106.0,No,Stable,103.8198,1.3521
177,Software Engineer,Technology,Medium,Dubai,Medium,Low,Data Analysis,73638.0,Yes,Growth,25.2048,55.2708
178,Software Engineer,Technology,Large,Sydney,Low,Medium,Sales,107677.0,No,Growth,151.2093,-33.8688
179,Product Manager,Energy,Large,London,Low,Low,Project Management,85645.0,Yes,Stable,-0.1276,51.5074
180,Cybersecurity Analyst,Healthcare,Large,Dubai,Medium,Medium,Cybersecurity,89856.0,Yes,Decline,25.2048,55.2708
181,Sales Manager,Energy,Small,Singapore,High,Medium,Data Analysis,102301.0,Yes,Decline,103.8198,1.3521
182,Data Scientist,Transportation,Small,New York,Low,Low,Python,31970.0,Yes,Growth,-74.006,40.7128
183,Data Scientist,Telecommunications,Medium,Singapore,Low,High,UX/UI Design,130007.0,No,Stable,103.8198,1.3521
184,HR Manager,Telecommunications,Medium,Sydney,Low,Low,Project Management,75379.0,No,Stable,151.2093,-33.8688
185,Software Engineer,Healthcare,Small,Sydney,High,Low,Python,94839.0,No,Decline,151.2093,-33.8688
186,Sales Manager,Education,Medium,Berlin,High,Medium,Marketing,55906.0,No,Decline,13.405,52.52
187,UX Designer,Education,Small,New York,Medium,Medium,Communication,81549.0,Yes,Decline,-74.006,40.7128
188,Product Manager,Finance,Large,Paris,High,Medium,Machine Learning,114894.0,Yes,Stable,2.3522,48.8566
189,Cybersecurity Analyst,Healthcare,Medium,Dubai,Medium,Medium,Machine Learning,51677.0,No,Decline,25.2048,55.2708
190,Marketing Specialist,Technology,Medium,San Francisco,Medium,High,Python,112524.0,No,Decline,-122.4194,37.7749
191,Cybersecurity Analyst,Education,Small,New York,High,High,UX/UI Design,84526.0,No,Growth,-74.006,40.7128
192,AI Researcher,Manufacturing,Medium,San Francisco,Medium,High,Marketing,99743.0,No,Decline,-122.4194,37.7749
193,Data Scientist,Entertainment,Medium,New York,High,Medium,Cybersecurity,103150.0,No,Decline,-74.006,40.7128
194,Product Manager,Technology,Large,New York,Medium,Medium,UX/UI Design,98828.0,Yes,Stable,-74.006,40.7128
195,AI Researcher,Transportation,Medium,Singapore,High,Medium,Sales,72701.0,Yes,Stable,103.8198,1.3521
196,Sales Manager,Manufacturing,Large,New York,High,High,Machine Learning,82709.0,Yes,Growth,-74.006,40.7128
197,Marketing Specialist,Manufacturing,Small,Berlin,Medium,Medium,Sales,60769.0,No,Decline,13.405,52.52
198,Software Engineer,Healthcare,Medium,Paris,Low,Low,Data Analysis,99836.0,No,Growth,2.3522,48.8566
199,Product Manager,Finance,Large,Sydney,Medium,Low,JavaScript,124041.0,No,Stable,151.2093,-33.8688
200,Product Manager,Transportation,Small,Toronto,High,Medium,Project Management,53511.0,No,Growth,-79.3832,43.6532
201,Data Scientist,Education,Medium,San Francisco,Low,Low,Marketing,74767.0,Yes,Stable,-122.4194,37.7749
202,Operations Manager,Healthcare,Small,Sydney,Medium,Low,UX/UI Design,86364.0,Yes,Growth,151.2093,-33.8688
203,Product Manager,Education,Medium,Toronto,Medium,High,Machine Learning,93467.0,No,Growth,-79.3832,43.6532
204,HR Manager,Healthcare,Small,Paris,Medium,Medium,Sales,107584.0,Yes,Decline,2.3522,48.8566
205,Marketing Specialist,Healthcare,Small,Paris,Low,Medium,Communication,86956.0,Yes,Growth,2.3522,48.8566
206,Marketing Specialist,Healthcare,Large,San Francisco,High,High,Data Analysis,83681.0,No,Decline,-122.4194,37.7749
207,HR Manager,Finance,Small,San Francisco,Medium,Low,Project Management,112063.0,No,Decline,-122.4194,37.7749
208,UX Designer,Healthcare,Medium,Paris,Medium,Low,Project Management,103240.0,No,Decline,2.3522,48.8566
209,HR Manager,Retail,Medium,Toronto,Medium,Medium,UX/UI Design,100780.0,No,Decline,-79.3832,43.6532
210,HR Manager,Entertainment,Large,New York,Medium,Low,Marketing,92250.0,No,Growth,-74.006,40.7128
211,Marketing Specialist,Education,Medium,Dubai,Medium,High,Cybersecurity,109663.0,No,Stable,25.2048,55.2708
212,Cybersecurity Analyst,Technology,Medium,London,High,High,Communication,76874.0,Yes,Stable,-0.1276,51.5074
213,Marketing Specialist,Energy,Medium,Sydney,High,Medium,UX/UI Design,74146.0,Yes,Stable,151.2093,-33.8688
214,Operations Manager,Transportation,Small,Singapore,Medium,High,Sales,104922.0,No,Growth,103.8198,1.3521
215,Data Scientist,Telecommunications,Small,Sydney,Low,High,JavaScript,57499.0,Yes,Decline,151.2093,-33.8688
216,AI Researcher,Finance,Medium,Singapore,High,Medium,Python,91844.0,No,Stable,103.8198,1.3521
217,Cybersecurity Analyst,Technology,Large,Toronto,Low,High,Cybersecurity,83669.0,No,Growth,-79.3832,43.6532
218,Software Engineer,Manufacturing,Small,Singapore,High,High,Marketing,61885.0,No,Decline,103.8198,1.3521
219,AI Researcher,Retail,Large,San Francisco,Medium,High,Data Analysis,71375.0,No,Stable,-122.4194,37.7749
220,Data Scientist,Telecommunications,Medium,Dubai,High,Low,Cybersecurity,87820.0,Yes,Decline,25.2048,55.2708
221,Operations Manager,Energy,Medium,Dubai,Medium,Medium,Machine Learning,110679.0,No,Stable,25.2048,55.2708
222,Operations Manager,Technology,Small,San Francisco,High,Medium,Marketing,76941.0,Yes,Stable,-122.4194,37.7749
223,Software Engineer,Telecommunications,Medium,Berlin,Medium,Medium,JavaScript,114268.0,No,Stable,13.405,52.52
224,Cybersecurity Analyst,Technology,Small,Toronto,Medium,Low,Machine Learning,91264.0,No,Decline,-79.3832,43.6532
225,UX Designer,Retail,Medium,Berlin,Medium,Low,Cybersecurity,116208.0,No,Growth,13.405,52.52
226,HR Manager,Energy,Medium,Berlin,Medium,Medium,Python,77910.0,Yes,Decline,13.405,52.52
227,Cybersecurity Analyst,Manufacturing,Small,Sydney,Low,Low,Python,89024.0,No,Stable,151.2093,-33.8688
228,UX Designer,Healthcare,Small,Paris,Medium,Medium,JavaScript,97370.0,No,Decline,2.3522,48.8566
229,Operations Manager,Education,Small,Sydney,Low,Low,Project Management,86410.0,No,Growth,151.2093,-33.8688
230,Marketing Specialist,Manufacturing,Medium,Paris,Low,High,Communication,109060.0,Yes,Decline,2.3522,48.8566
231,Data Scientist,Healthcare,Medium,London,Medium,High,Data Analysis,45849.0,Yes,Growth,-0.1276,51.5074
232,Software Engineer,Finance,Large,Singapore,Low,Medium,Project Management,138448.0,Yes,Growth,103.8198,1.3521
233,Data Scientist,Entertainment,Small,Paris,High,Low,Python,107155.0,No,Decline,2.3522,48.8566
234,Sales Manager,Transportation,Medium,San Francisco,Medium,Low,Python,86529.0,Yes,Stable,-122.4194,37.7749
235,Sales Manager,Transportation,Medium,Sydney,Low,High,Sales,78954.0,No,Growth,151.2093,-33.8688
236,Cybersecurity Analyst,Education,Small,Toronto,Medium,High,Machine Learning,72672.0,Yes,Decline,-79.3832,43.6532
237,Operations Manager,Energy,Large,Singapore,Medium,Low,Cybersecurity,102912.0,Yes,Growth,103.8198,1.3521
238,Operations Manager,Retail,Small,London,Medium,Low,Data Analysis,109900.0,No,Stable,-0.1276,51.5074
239,HR Manager,Energy,Large,Paris,Low,Low,JavaScript,86749.0,Yes,Decline,2.3522,48.8566
240,HR Manager,Retail,Medium,London,High,Low,Cybersecurity,112140.0,No,Decline,-0.1276,51.5074
241,HR Manager,Energy,Large,Toronto,High,Low,Sales,71855.0,No,Decline,-79.3832,43.6532
242,Marketing Specialist,Entertainment,Medium,Berlin,Low,Low,Python,68324.0,Yes,Stable,13.405,52.52
